iter	MultiClass
170	0.1857066723
171	0.1854145057
172	0.1851296832
173	0.1849442487
174	0.1846286494
175	0.1842836605
176	0.1839421389
177	0.1836042073
178	0.1833552769
179	0.1831169629
180	0.182768362
181	0.1823534007
182	0.1821211132
183	0.1819080126
184	0.1816805014
185	0.181477599
186	0.181252443
187	0.1809362328
188	0.1807226241
189	0.1805123716
190	0.1802245846
191	0.1800065058
192	0.1797450151
193	0.1794449649
194	0.1791692505
195	0.1789556894
196	0.1787233232
197	0.1784904814
198	0.1782284059
199	0.1779279194
200	0.1775811708
201	0.1774609419
202	0.1772852003
203	0.1770254992
204	0.1767337487
205	0.1763917229
206	0.1762025484
207	0.1759553426
208	0.1757091851
209	0.1755295038
210	0.1751458652
211	0.1749119836
212	0.1746899802
213	0.1743336029
214	0.1740317456
215	0.1738833011
216	0.1737186039
217	0.1736059219
218	0.1733029584
219	0.1731642796
220	0.1730235423
221	0.1728474129
222	0.1724341478
223	0.1722606798
224	0.1720554204
225	0.1718630805
226	0.1715749263
227	0.1714140862
228	0.1712122328
229	0.1710106022
230	0.1707533515
231	0.1705174362
232	0.1702786571
233	0.1700382983
234	0.1696837995
235	0.1695059979
236	0.1692467131
237	0.1690833593
238	0.1688847604
239	0.1686383019
240	0.1684340013
241	0.1683688028
242	0.1682253487
243	0.1681154508
244	0.1679086039
245	0.1675963897
246	0.1674022627
247	0.1672008756
248	0.1670311652
249	0.1666852942
250	0.166424468
251	0.166237355
252	0.1661038885
253	0.1659236972
254	0.1657929411
255	0.1653861113
256	0.1652389314
257	0.1649771887
258	0.1648497055
259	0.1646681637
260	0.1644273119
261	0.1642520631
262	0.1640826304
263	0.163733093
264	0.1636480621
265	0.1634033929
266	0.1632638379
267	0.1630957051
268	0.1628614694
269	0.1625502847
270	0.1623682234
271	0.1622684718
272	0.1619903155
273	0.1617765952
274	0.1615523303
275	0.1613749451
276	0.1610169257
277	0.1607058428
278	0.1605264995
279	0.160352117
280	0.1602660161
281	0.1601414869
282	0.160025924
283	0.1598845828
284	0.1596500191
285	0.1594640722
286	0.1593252988
287	0.1591150117
288	0.1589493642
289	0.1587952888
290	0.1586861242
291	0.1584745706
292	0.1583149931
293	0.1581592814
294	0.1579747511
295	0.1576972264
296	0.1575389915
297	0.1572607861
298	0.1570123905
299	0.1567759965
300	0.1565792222
301	0.1563756928
302	0.1561462197
303	0.1559901682
304	0.1558597857
305	0.1556305914
306	0.1553723269
307	0.1551819045
308	0.1549345194
309	0.1546846379
310	0.1545188867
311	0.1542419775
312	0.1540599749
313	0.1538468606
314	0.1536320934
315	0.1535144694
